STUDENT_ID,FALL_COHORT,COHORT_TYPE,GENDER,N__IPEDS_ETHNICITY,ENROLLMENT_STATUS,EXCLUSION_ELIGIBLE,ENROLLED_FALL_2020
ID000001,2019,FTF,F,HISPA,F,N,Y
ID000002,2019,N/A,F,HISPA,F,N,Y
ID000003,2019,N/A,M,WHITE,F,N,Y
ID000004,2019,N/A,F,HISPA,F,N,Y
ID000005,2019,N/A,F,HISPA,F,N,Y
ID000006,2019,N/A,F,WHITE,F,N,Y
ID000007,2019,N/A,F,WHITE,F,N,Y
ID000008,2019,N/A,F,HISPA,F,N,Y
ID000009,2019,N/A,F,HISPA,F,N,Y
ID000010,2019,N/A,F,HISPA,F,N,Y
ID000011,2019,LD,F,HISPA,F,N,Y
ID000012,2019,N/A,F,HISPA,F,N,Y
ID000013,2019,N/A,M,HISPA,P,N,Y
ID000014,2019,FTF,F,HISPA,F,N,Y
ID000015,2019,N/A,F,HISPA,F,N,Y
ID000016,2019,N/A,M,HISPA,F,N,Y
ID000017,2019,FTF,F,HISPA,F,N,Y
ID000018,2019,N/A,M,HISPA,P,N,Y
ID000019,2019,N/A,F,WHITE,P,N,Y
ID000020,2019,FTF,F,HISPA,F,N,Y
ID000021,2019,N/A,F,HISPA,P,N,Y
ID000022,2019,N/A,M,HISPA,F,N,Y
ID000023,2019,UD,F,WHITE,F,N,Y
ID000024,2019,N/A,M,HISPA,F,N,Y
ID000025,2019,N/A,F,WHITE,F,N,Y
ID000026,2019,N/A,M,WHITE,F,N,Y
ID000027,2019,N/A,M,HISPA,F,N,Y
ID000028,2019,N/A,F,HISPA,F,N,Y
ID000029,2019,N/A,F,HISPA,F,Y,Y
ID000030,2019,N/A,F,ASIAN,F,N,Y
ID000031,2019,FTF,F,ASIAN,F,N,Y
ID000032,2019,FTF,F,ASIAN,F,N,Y
ID000033,2019,FTF,F,INTL,F,N,Y
ID000034,2019,N/A,F,WHITE,F,N,Y
ID000035,2019,N/A,M,WHITE,F,N,Y
ID000036,2019,N/A,F,WHITE,F,N,Y
ID000037,2019,UD,M,WHITE,F,N,Y
ID000038,2019,N/A,M,WHITE,F,N,Y
ID000039,2019,N/A,M,WHITE,F,N,Y
ID000040,2019,N/A,M,WHITE,F,N,Y
ID000041,2019,N/A,M,WHITE,F,N,Y
ID000042,2019,LD,M,WHITE,F,N,Y
ID000043,2019,FTF,M,WHITE,P,N,Y
ID000044,2019,N/A,F,WHITE,F,N,Y
ID000045,2019,N/A,F,WHITE,F,N,Y
ID000046,2019,N/A,M,WHITE,P,N,Y
ID000047,2019,N/A,M,WHITE,F,N,Y
ID000048,2019,UD,F,NSPEC,P,N,Y
ID000049,2019,FTF,F,WHITE,F,N,Y
ID000050,2019,N/A,F,WHITE,P,N,Y
ID000051,2019,N/A,M,INTL,F,N,Y
ID000052,2019,N/A,F,WHITE,F,N,Y
ID000053,2019,N/A,F,HISPA,F,N,Y
ID000054,2019,N/A,F,WHITE,F,N,Y
ID000055,2019,FTF,M,WHITE,F,N,Y
ID000056,2019,N/A,M,TWOMORE,F,N,Y
ID000057,2019,N/A,F,WHITE,P,N,Y
ID000058,2019,N/A,F,WHITE,F,N,Y
ID000059,2019,FTF,F,WHITE,F,N,Y
ID000060,2019,N/A,F,WHITE,F,N,Y
ID000061,2019,UD,M,WHITE,F,N,Y
ID000062,2019,N/A,M,WHITE,F,N,Y
ID000063,2019,N/A,M,NSPEC,P,N,Y
ID000064,2019,N/A,M,INTL,F,N,Y
ID000065,2019,FTF,M,WHITE,F,N,Y
ID000066,2019,FTF,M,INTL,P,N,Y
ID000067,2019,FTF,M,HISPA,F,N,Y
ID000068,2019,N/A,F,ASIAN,F,N,Y
ID000069,2019,FTF,M,HISPA,F,N,Y
ID000070,2019,N/A,F,HISPA,P,N,Y
ID000071,2019,N/A,M,HISPA,F,N,Y
ID000072,2019,N/A,F,HISPA,F,N,Y
ID000073,2019,N/A,F,WHITE,F,N,Y
ID000074,2019,N/A,F,HISPA,F,N,Y
ID000075,2019,UD,M,HISPA,F,N,Y
ID000076,2019,N/A,F,HISPA,F,N,Y
ID000077,2019,N/A,F,HISPA,F,N,Y
ID000078,2019,FTF,F,HISPA,F,N,Y
ID000079,2019,N/A,F,HISPA,F,N,Y
ID000080,2019,N/A,M,WHITE,F,N,Y
ID000081,2019,N/A,F,WHITE,P,N,Y
ID000082,2019,FTF,F,HISPA,F,N,Y
ID000083,2019,N/A,M,HISPA,F,N,Y
ID000084,2019,UD,F,HISPA,P,N,Y
ID000085,2019,FTF,F,TWOMORE,F,N,Y
ID000086,2019,UD,F,HISPA,P,N,Y
ID000087,2019,FTF,F,WHITE,F,N,Y
ID000088,2019,UD,F,HISPA,F,N,Y
ID000089,2019,FTF,F,WHITE,F,N,Y
ID000090,2019,N/A,M,WHITE,F,N,Y
ID000091,2019,N/A,M,WHITE,F,N,Y
ID000092,2019,N/A,F,WHITE,F,N,Y
ID000093,2019,N/A,M,WHITE,F,N,Y
ID000094,2019,N/A,F,WHITE,F,N,Y
